legalDescription,subdivision
WUNDURVUE LOT 53 (EX E 16.04'),WUNDURVUE
PICKERING EST RES LOT 8,PICKERING EST
LO7 FOREST LANDING PH3 BLE BM1985-1687,FOREST LANDING PH 3 BLE
LTS 5A & 6A (N 10' LT 5 & S 35' LT 6) BLK 10 (NCB 267) BUCHANAN GARDENS,BUCHANAN GARDENS
LOTS 17632 & 17633 SOUTH VENICE UNIT 66,SOUTH VENICE UNIT 66
TRACT: 134002 LOT: 121 MAPNR: 037MR 045,1340-2
CRAFTON HEIGHTS ACRES #8 LOT 50XAVG102.15X50.25 CEDARBROOK DR 1 STY BRK HSE-GAR 104,CRAFTON HEIGHTS
MAPNUM:000432 WARDNUM:00 BLOCKNUM:000000 LOTNUM:000000 UNITNUM:00000,Not available
X2204434Y204613 T008H00000000,Not available
HUNTSFORD FARMS PH 9 UNIT PARCEL 316,HUNTSFORD FARMS PH 09
TRACT # 16902 EX OF FLOOD CONTROL EASEMENT LOT 12,16902
12-6X60,Not available
"GARDEN RIDGE ESTATES 8, BLOCK 1, LOT 4",GARDEN RIDGE ESTATES 8
CARLTON SUBDIVISION LOT 7 BLOCK 02 B.1395 P.813,CARLTON SUBDIVISION
LOT 53 RIDGEWOOD SD UNIT 4,RIDGEWOOD
PTLL 66 9/4 LT 31 GILLESPIE PARK S/D,GILLESPIE PARK S/D
KIMBERLEA ADD AMENDED CG LOT 28 BLK 6,KIMBERLEA ADD AMENDED
LOT 29 MB 217/076 TR 22087-1,Not available
ACRES: 0.253 LOT: 18 SEC 2 BLK: 16 SUBD: RIVER VIEW HEIGHTS ADDN,RIVER VIEW HEIGHTS ADD
25-7-645-D2-1 233 TAFT ST,Not available
BRADSHAW'S A B ADD---E 50' OF LOT 2 & W 25' OF LOT 3,BRADSHAW'S A B ADD
"FOREST PARK PHASE 1 (CPN), BLOCK E, LOT 20",FOREST PARK PHASE 1 (CPN)
ROSEWOOD TERRACE LO60 SE03 PL0039-0073,ROSEWOOD TERRACE
CITY/MUNI/TWP:SAN RAFAEL,PEACOCK GAP NBRHD 1
281-791,CARYWOOD II
HOYTTE AUSTIN LAKE S-D SEC A LOT 83,HOYTTE AUSTIN LAKE S-D
LOT:15 BLK:C DIST:11 MAP REF:145   B4,Not available
5725 H C HUBER 33-2,HUBER
X2205392Y210415 T006H00000000,PROPERTY /BRENTWOOD PARK IMPRO
TOWN NORTH EST #2 BLOCK G LOT 4,TOWN NORTH ESTATES 2
"ARLINGTON PARK 05 PHASE 02, LOT 50",ARLINGTON PARK 05 PHASE 02
DIST:62 CITY/MUNI/TWP:SUSQUEHANNA TOWNSHIP MAP REF:MAP 62-029,GLENWOOD
PROSPECT HILL,PROSPECT HILL
ACRES 0.18000000 ACREAGEQUALCODE ML LOT 4 LOTTYPE L MAPPLATB 463 MAPPLATP 045 SUBDIVISIONNAME TR 36430,Not available
PLAT 6/17/2020 L202035273,ORCHARD PARK SUB PH 4-CENTERTON
LOT:134 DIST:40 CITY/MUNI/TWP:BRAINTREE,OAK HILL PARK
CLUBSIDE POINT AT BROKEN SOUNDCOND UNIT 701,CLUBSIDE POINT AT BROKEN SOUNDCOND
NCB 18634 BLK 14 LOT 13 TWIN CREEK UT-3 ( TWIN CREEK ANNEX ),CONV A/S CODE
SOUTHPORTE SUB LOT 23,SOUTHPORTE SUB
"HENRY CONDOMINIUMS, LOT 1320",HENRY CONDOMINIUMS
LOT:99 CITY/MUNI/TWP:ENFIELD,BROOKSIDE VILLAGE
LOT 16 SEC C,GREENVIEW ACRES 2ND ADD SEC C
20X100,Not available
LOT 9 HIGH DUNES LOOKOUT S/D 21 PB46 P156 PB105 P120,FRIPP ISLAND NEIGHBORHOOD 4
UNIT 8 SHIRANA CONDOS LOT108 TELLURIDE MTN VILLAGE FILING 1 ACC TO PLAT BK 1 PG 1117 THRU 1122 PARKING UNIT 10-C,SHIRANA
120'1/4  NW PT,NOWARD BUILDERS INC
LOT 2 BLK 1 MOORE ADDITION,MOORE ADD
"DISTRICT: 03, COUNTY AREA: L32",HAMILTON SPRINGS SEC1 PH3
"T1N, R10E, SEC 34 SUPERVISOR'S PLAT OF EVERGREEN PARK NO. 1 LOTS 52 & 53 8-4-10 FR 009 & 010",SUPRVRS OF EVERGREEN PARK 1
THE TROPICS AMD PL PB 10-17 LOT 4 BLK 101 LOT SIZE 50.000 X 140 OR 19042-1436 0200 1 COC 24456-4207 03 2006 1,TROPICS AMD
